Score,City,X,Y,Name,Type_1,City_1,FullAddres
100,Albuquerque,-106.569396,35.13065725,Casa Blanca Market,Medium Grocery Store,Albuquerque,5555 Montgomery Blvd NE
100,Albuquerque,-106.569396,35.13065725,Casa Blanca Market,Medium Grocery Store,Albuquerque,5555 Montgomery Blvd NE
100,Albuquerque,-106.5337571,35.10900151,CDO MEAT MARKET,Small Grocery Store,Albuquerque,9645 Menaul Blvd NE
100,Cedar Crest,-106.3654389,35.1364397,Cedar Crest Farmers Market,Farmers' Market,Cedar Crest,12183 Highway 14 N
97.13,Cedar Crest,-106.3739943,35.11059737,Cedar Crest Farmers Market,Farmers' Market,Cedra Crest,12165 Nm-14
100,Albuquerque,-106.6987761,35.14073835,CHALITA'S CHORIZO,Meat/Poultry Specialty,Albuquerque,3296 Coors Blvd NW
100,Albuquerque,-106.569396,35.13065725,Chile Traditions,Combination Grocery/Other,Albuquerque,6919 Montgomery Blvd NE
100,Albuquerque,-106.5919057,35.17468945,Circle K 8937,Combination Grocery/Other,Albuquerque,4701 Paseo Del Norte Ne
100,Albuquerque,-106.6033876,35.12353619,Circle R,Small Grocery Store,Albuquerque,3609 Comanche Rd Ne
100,Albuquerque,-106.6152624,35.10916302,CONSUMER'S CHOICE STEAK & SEAFOOD,Meat/Poultry Specialty,Albuquerque,2440 Menaul Blvd NE
100,Albuquerque,-106.5332326,35.1243465,CONTINENTAL BAKING CO. #2 3732,Bakery Specialty,Albuquerque,3732 Eubank Blvd NE
100,Albuquerque,-106.6899528,35.06586565,CONTRERAS CHILE PRODUCE,Fruits/Veg Specialty,Albuquerque,2112 Bridge Blvd SW
85.55,Corrales,-106.621536,35.232305,CORRALES CENTER BAKERY,Medium Grocery Store,CORRALES,10701 COORS NW #1 BX 8
100,Albuquerque,-106.5325246,35.06787206,Costco Wholesale 0667,Super Store,Albuquerque,500 Eubank Blvd SE
100,Albuquerque,-106.6571278,35.19431065,Costco Wholesale 1016,Super Store,Albuquerque,9955 Coors Bypass NW
100,Albuquerque,-106.6133306,35.13744541,Costco Wholesale 0116,Super Store,Albuquerque,1420 N Renaissance Blvd NE
100,Albuquerque,-106.6618089,35.18678513,Cottonwood Cheveron,Combination Grocery/Other,Albuquerque,9400 Coors Blvd NW
100,Albuquerque,-106.6600755,35.08161149,COUNTRY CLUB FOOD MARKET,Small Grocery Store,Albuquerque,1002 Coal Ave SW
100,Albuquerque,-106.515234,35.06508871,COUNTRY MEATS,Combination Grocery/Other,Albuquerque,504 Juan Tabo Blvd SE
100,Albuquerque,-106.515234,35.06508871,COUNTRY MEATS,Meat/Poultry Specialty,Albuquerque,504 Juan Tabo Blvd SE
100,Albuquerque,-106.515234,35.06508871,COUNTRY MEATS INC,Meat/Poultry Specialty,Albuquerque,504 Juan Tabo Blvd SE
91.97,Cedar Crest,-106.3739943,35.11059737,CREST MART,Small Grocery Store,CEDAR CREST,12021 NORTH 14
100,Albuquerque,-106.7134321,35.05909036,Cuiohtemoc Carniceria,Medium Grocery Store,Albuquerque,9601 Sage Rd SW
100,Albuquerque,-106.7134321,35.05909036,Cuiohtemoc Carniceria,Medium Grocery Store,Albuquerque,9601 Sage Rd SW
100,Albuquerque,-106.6721196,35.10947982,CUSTOM CAKE BAKERY,Bakery Specialty,Albuquerque,1423 Rio Grande Blvd NW
100,Albuquerque,-106.4971223,35.17209332,CVS/ PHARMACY INC 8917,Combination Grocery/Other,Albuquerque,7847 Tramway Blvd NE
100,Albuquerque,-106.5336439,35.10886092,CVS/ PHARMACY INC 8915,Combination Grocery/Other,Albuquerque,9640 Menaul Blvd NE
99.19,Albuquerque,-106.654745,35.20655552,CVS/ PHARMACY INC 8916,Combination Grocery/Other,ALBUQUERQUE,3821 ELLISON DRIVE NW
100,Albuquerque,-106.5863551,35.12997444,CVS/ PHARMACY INC 8918,Combination Grocery/Other,Albuquerque,4340 San Mateo Blvd NE
100,Albuquerque,-106.5683167,35.0759132,CVS/ PHARMACY INC 7095,Combination Grocery/Other,Albuquerque,7105 Central Ave NE
100,Albuquerque,-106.7652727,35.06762656,CVS/ PHARMACY INC 8981,Combination Grocery/Other,Albuquerque,7900 Central Ave NW
99.13,Albuquerque,-106.698247,35.15260409,CVS/ PHARMACY INC 7242,Combination Grocery/Other,ALBUQUERQUE,4201 MONTANO RD NW
100,Albuquerque,-106.4975077,35.10092046,CVS/ PHARMACY INC 5494,Combination Grocery/Other,Albuquerque,1500 Tramway Blvd NE
99.13,Albuquerque,-106.7006711,35.2094722,CVS/ PHARMACY INC 7319,Combination Grocery/Other,ALBUQUERQUE,10700 UNSER BLVD NW
100,Albuquerque,-106.6033876,35.12353619,D & A LLC,Small Grocery Store,Albuquerque,3609 Comanche Rd Ne
100,Albuquerque,-106.6427636,35.13074294,D & H MEAT MARKET,Small Grocery Store,Albuquerque,4728 4th St NW
100,Albuquerque,-106.6427636,35.13074294,D & H MEAT MARKET,Small Grocery Store,Albuquerque,4728 4th St NW
97.24,Albuquerque,-106.6638563,34.997579,D & S COUNTRY MARKET,Small Grocery Store,Albuquerque,5117 2nd St SW
