Score,City,X,Y,Name,Type_1,city,county,FullAddress
99.03,Albuquerque,-106.6488165,35.08009545,Rail Yards Market,Farmers' Market,Albuquerque,BERNALILLO,777 1st St Sw
100,Albuquerque,-106.5863146,35.09051759,RAINBO BAKERY STORE  7,Bakery Specialty,Albuquerque,BERNALILLO,1311 San Mateo Blvd NE
100,Albuquerque,-106.5418646,35.10271221,RAINBO BAKERY STORE #2,Bakery Specialty,Albuquerque,BERNALILLO,1815 Moon St NE
97.24,Albuquerque,-106.6814459,35.02694564,RAINBO BAKERY STORE #3,Bakery Specialty,Albuquerque,BERNALILLO,1698 RIO BRAVO SW
99.17,Albuquerque,-106.4972878,35.07755892,RAINBO BAKERY STORE #5,Bakery Specialty,Albuquerque,BERNALILLO,417 TRAMWAY BLVD NE
99.13,Albuquerque,-106.6987761,35.14073835,RAINBO BAKERY STORE #7,Bakery Specialty,Albuquerque,BERNALILLO,3296 COORS BLVD. NW
100,Albuquerque,-106.511526,35.10880313,RAINBO BAKING COMPANY #4,Bakery Specialty,Albuquerque,BERNALILLO,11601 Menaul Blvd NE
100,Albuquerque,-106.5155792,35.11547385,RALEY'S OF NEW MEXICO 813,Super Store,Albuquerque,BERNALILLO,2910 Juan Tabo Blvd NE
100,Albuquerque,-106.4999571,35.06841639,RALEYS  807,Super Store,Albuquerque,BERNALILLO,13150 Central Ave SE
100,Albuquerque,-106.5154537,35.108344,RALEYS  803,Supermarket,Albuquerque,BERNALILLO,2200 Juan Tabo Blvd NE
99.13,Albuquerque,-106.6987761,35.14073835,RALEYS  805,Super Store,Albuquerque,BERNALILLO,6200 COORS BLVD NW
99.17,Albuquerque,-106.5509181,35.12920798,RALEYS  804,Super Store,Albuquerque,BERNALILLO,"4401 WYOMING BLVD, NE"
99.1,Albuquerque,-106.5473497,35.07279372,RALEYS  808,Super Store,Albuquerque,BERNALILLO,5555 ZUNI ROAD SE
100,Albuquerque,-106.4980172,35.08637185,RALEYS 809,Super Store,Albuquerque,BERNALILLO,13201 Lomas Blvd NE
100,Albuquerque,-106.5421809,35.17601775,RALEYS 814,Super Store,Albuquerque,BERNALILLO,8110 Ventura St NE
100,Albuquerque,-106.581886,35.06867257,RANCHERIO MEAT MARKET,Small Grocery Store,Albuquerque,BERNALILLO,110 Alvarado Dr SE
100,Albuquerque,-106.5928176,35.08744779,RED SQUARE,Small Grocery Store,Albuquerque,BERNALILLO,4710 Lomas Blvd NE
100,Albuquerque,-106.6805818,35.02633129,RIO GRANDE BEEF JERKY,Meat/Poultry Specialty,Albuquerque,BERNALILLO,2720 Isleta Blvd SW
100,Albuquerque,-106.701174,34.90752237,Rio Grande Beef Jerky,Meat/Poultry Specialty,Albuquerque,BERNALILLO,2720 Isleta Blvd Sw
100,Albuquerque,-106.701174,34.90752237,Rio Grande Beef Jerky,Meat/Poultry Specialty,Albuquerque,BERNALILLO,2720 Isleta Blvd Sw
